*******************************************************************************************
For file gr4.txt
Total Number of Pages = 500
*******************************************************************************************
Page rank
--------------------------------------------------------------------------------------------
Iteration no: 1
Page 372 : 0.000300
Page 373 : 0.000300
Page 374 : 0.000300
Page 375 : 0.000300
Page 376 : 0.000300
Page 377 : 0.000300
Page 378 : 0.000300
Page 379 : 0.000300
Page 380 : 0.000300
Page 381 : 0.000300
Page 382 : 0.000300
Page 383 : 0.000300
Page 384 : 0.000300
Page 385 : 0.000300
Page 386 : 0.000300
Page 387 : 0.000300
Page 388 : 0.000300
Page 389 : 0.000300
Page 390 : 0.000300
Page 391 : 0.000300
Page 392 : 0.000300
Page 393 : 0.000300
Page 394 : 0.000300
Page 395 : 0.000300
Page 396 : 0.000300
Page 397 : 0.000300
Page 398 : 0.000300
Page 399 : 0.000300
Page 400 : 0.000300
Page 401 : 0.000300
Page 402 : 0.000300
Page 403 : 0.000300
Page 404 : 0.000300
Page 405 : 0.000300
Page 406 : 0.000300
Page 407 : 0.000300
Page 408 : 0.000300
Page 409 : 0.000300
Page 410 : 0.000300
Page 411 : 0.000300
Page 412 : 0.000300
Page 413 : 0.000300
Page 414 : 0.000300
Page 415 : 0.000300
Page 416 : 0.000300
Page 417 : 0.000300
Page 418 : 0.000300
Page 419 : 0.000300
Page 420 : 0.000300
Page 421 : 0.000300
Page 422 : 0.000300
Page 423 : 0.000300
Page 424 : 0.000300
Page 425 : 0.000300
Page 426 : 0.000300
Page 427 : 0.000300
Page 428 : 0.000300
Page 429 : 0.000300
Page 430 : 0.000300
Page 431 : 0.000300
Page 432 : 0.000300
Page 433 : 0.000300
Page 434 : 0.000300
Page 435 : 0.000300
Page 436 : 0.000300
Page 437 : 0.000300
Page 438 : 0.000300
Page 439 : 0.000300
Page 440 : 0.000300
Page 441 : 0.000300
Page 442 : 0.000300
Page 443 : 0.000300
Page 444 : 0.000300
Page 445 : 0.000300
Page 446 : 0.000300
Page 447 : 0.000300
Page 448 : 0.000300
Page 449 : 0.000300
Page 450 : 0.000300
Page 451 : 0.000300
Page 452 : 0.000300
Page 453 : 0.000300
Page 454 : 0.000300
Page 455 : 0.000300
Page 456 : 0.000300
Page 457 : 0.000300
Page 458 : 0.000300
Page 459 : 0.000300
Page 460 : 0.000300
Page 461 : 0.000300
Page 462 : 0.000300
Page 463 : 0.000300
Page 464 : 0.000300
Page 465 : 0.000300
Page 466 : 0.000300
Page 467 : 0.000300
Page 468 : 0.000300
Page 469 : 0.000300
Page 470 : 0.000300
Page 471 : 0.000300
Page 472 : 0.000300
Page 473 : 0.000300
Page 474 : 0.000300
Page 475 : 0.000300
Page 476 : 0.000300
Page 477 : 0.000300
Page 478 : 0.000300
Page 479 : 0.000300
Page 480 : 0.000300
Page 481 : 0.000300
Page 482 : 0.000300
Page 483 : 0.000300
Page 484 : 0.000300
Page 485 : 0.000300
Page 486 : 0.000300
Page 487 : 0.000300
Page 488 : 0.000300
Page 489 : 0.000300
Page 490 : 0.000300
Page 491 : 0.000300
Page 492 : 0.000300
Page 493 : 0.000300
Page 494 : 0.000300
Page 495 : 0.000300
Page 496 : 0.000300
Page 497 : 0.000300
Page 498 : 0.000300
Page 499 : 0.000300
Page 500 : 0.000300
--------------------------------------------------------------------------------------------
********************************************************************************************
Running Time = 0.047219
********************************************************************************************
